estimator,k_placements,mechanism,operating_point,target_r2,beta_true,n_subjects,rate,aur_lo,aur_hi,aur_median,dbeta_mean,dbeta_lo,dbeta_hi,n_sim
matched_contrast,1000,pure_background,small_effect,0.01,0.1,28,500Hz,0.6179386146149165,2.597330782006947,1.000350878395964,-0.0005358401849800237,-0.06179282266704101,0.061738554409015725,4000
matched_contrast,1000,stimulus_locked,small_effect,0.01,0.1,28,500Hz,0.3109220628305037,1.2990019769606935,0.5012147262882185,,,,4000
matched_contrast,1000,dilution,small_effect,0.01,0.1,28,500Hz,0.8894931755948501,25.456208426729596,2.0367972615955354,,,,4000
single_draw,1,pure_background,small_effect,0.01,0.1,84,1024Hz,0.5728439459895749,1.6830520785755514,0.9951090068747899,0.0002849737949461972,-0.050135263827928454,0.05143779735820403,4000
single_draw,1,stimulus_locked,small_effect,0.01,0.1,84,1024Hz,0.14231185953356593,1.000712329333892,0.5033084651185229,,,,4000
single_draw,1,dilution,small_effect,0.01,0.1,84,1024Hz,0.9847014593278208,7.842264311483274,2.007743448816407,,,,4000
matched_contrast,1000,pure_background,small_effect,0.01,0.1,84,1024Hz,0.7359953331720084,1.569252971752788,0.9931044301930257,0.0005016170214536647,-0.036392437689398836,0.03567048739629953,4000
matched_contrast,1000,stimulus_locked,small_effect,0.01,0.1,84,1024Hz,0.3685210280989347,0.7740993486659233,0.49618832663202106,,,,4000
matched_contrast,1000,dilution,small_effect,0.01,0.1,84,1024Hz,1.1428036833772697,7.13071745000051,1.9773352915343692,,,,4000
single_draw,1,pure_background,small_effect,0.01,0.1,84,500Hz,0.5875310553141909,1.6830538253612795,0.9955023060719359,0.0003414333540813932,-0.04866535970535558,0.048895519003386775,4000
single_draw,1,stimulus_locked,small_effect,0.01,0.1,84,500Hz,0.12869287070982435,1.0245097112819175,0.5045042332683498,,,,4000
single_draw,1,dilution,small_effect,0.01,0.1,84,500Hz,0.987192848077428,6.535169235351596,1.9828549230664958,,,,4000
matched_contrast,1000,pure_background,small_effect,0.01,0.1,84,500Hz,0.7466883247334257,1.531684936173485,1.0092022078355931,-0.0006028674524278907,-0.03478383281506334,0.03413742771776007,4000
matched_contrast,1000,stimulus_locked,small_effect,0.01,0.1,84,500Hz,0.36838848410216063,0.7784843243769125,0.5003890363165238,,,,4000
matched_contrast,1000,dilution,small_effect,0.01,0.1,84,500Hz,1.168113275280906,7.432783497544535,1.9981112285224054,,,,4000
single_draw,1,pure_background,small_effect,0.01,0.1,90,1024Hz,0.5897860775349912,1.6915999554141072,0.9943180859736739,0.00033445554520730226,-0.04957132793596364,0.04970832877346618,4000
single_draw,1,stimulus_locked,small_effect,0.01,0.1,90,1024Hz,0.15712473695847728,0.9924845106223975,0.5007537140313402,,,,4000
single_draw,1,dilution,small_effect,0.01,0.1,90,1024Hz,1.0132632289989945,6.5159326981964005,1.9964877199182902,,,,4000
matched_contrast,1000,pure_background,small_effect,0.01,0.1,90,1024Hz,0.7387737428862314,1.5296378107674444,0.9972807265911572,0.0002759248469953814,-0.034748487328521,0.035390643401799364,4000
matched_contrast,1000,stimulus_locked,small_effect,0.01,0.1,90,1024Hz,0.3700520298910814,0.7506298763081704,0.4958145101256918,,,,4000
matched_contrast,1000,dilution,small_effect,0.01,0.1,90,1024Hz,1.181843365650032,6.478343625383645,1.98627815983819,,,,4000
single_draw,1,pure_background,small_effect,0.01,0.1,90,500Hz,0.6077704493961678,1.6650121775157134,0.992402526990019,0.0007754715228520079,-0.04939194034186454,0.04717378757650883,4000
single_draw,1,stimulus_locked,small_effect,0.01,0.1,90,500Hz,0.14373203737151302,0.9706365053977479,0.4942739483509968,,,,4000
single_draw,1,dilution,small_effect,0.01,0.1,90,500Hz,1.0278587464129152,7.289876948806186,2.0068077742758326,,,,4000
matched_contrast,1000,pure_background,small_effect,0.01,0.1,90,500Hz,0.7373774840649311,1.5059703939341242,1.0018773037806323,3.249189349603894e-05,-0.03362494971047442,0.03546178485728743,4000
matched_contrast,1000,stimulus_locked,small_effect,0.01,0.1,90,500Hz,0.3732709832589084,0.760893811204918,0.5061729068238037,,,,4000
matched_contrast,1000,dilution,small_effect,0.01,0.1,90,500Hz,1.194803274592038,6.850532642755636,2.023924687517583,,,,4000
