subject,pe,se,lz,hjorth_mob,hjorth_cplx,p300,dataset
sub-007,0.4605882088666229,0.27548107642244013,0.18874770235571173,0.08394429736421134,1.2512983183202704,5.238370420822075e-06,primary
sub-007,0.4631627334424912,0.18263361796047514,0.23593462794463968,0.06006141985949368,1.8411478228797928,-4.844148783669277e-08,primary
sub-007,0.48484730543391463,0.30744489954497434,0.2831215535335676,0.09150613521338935,1.3141620149129973,8.977254141417238e-06,primary
sub-007,0.4793112394639275,0.3883340681779807,0.33030847912249556,0.10172482017215206,1.074130005929301,-5.39577250865983e-07,primary
sub-007,0.479211319363684,0.19626073947060893,0.2831215535335676,0.068558769864933,1.7559646770540291,2.3641880479365564e-06,primary
sub-007,0.48645887211515215,0.4043822709693323,0.23593462794463968,0.13243719217387445,0.9282401997771992,1.596846067566109e-06,primary
sub-007,0.5178674014451865,0.27252810125749716,0.18874770235571173,0.09576981075185692,1.5773331903087968,1.2755031789634998e-06,primary
sub-007,0.5427666749329996,0.17223065381199176,0.2831215535335676,0.08052873074798339,1.8425143470520433,9.837547963041103e-06,primary
sub-007,0.45589034010387364,0.20630352148043998,0.2831215535335676,0.06302635890892326,1.8600899696161863,5.650514012692964e-06,primary
sub-007,0.4837516932807236,0.22708314931829005,0.37749540471142345,0.07765867637653352,1.6906842767788606,3.7080115726841807e-06,primary
sub-010,0.4962075738828222,0.39073281219109646,0.37749540471142345,0.10762072646327596,1.3215775964352046,1.2259993366071916e-05,primary
sub-010,0.47061613630836463,0.13044244676874983,0.23593462794463968,0.06462406056918994,1.3908198985765905,-9.102335551267854e-07,primary
sub-010,0.49026241251917413,0.13799197639689367,0.23593462794463968,0.06725442665932888,1.6831186430337417,5.833664167362851e-06,primary
sub-010,0.4732925945088999,0.23853470163450713,0.23593462794463968,0.07386176894954546,1.6033655362872612,6.312199068265623e-06,primary
sub-010,0.4621410035709021,0.34460800924779045,0.33030847912249556,0.11485696741930893,1.0573198682603921,1.0473751937788015e-06,primary
sub-010,0.5246553855530915,0.11090444169549685,0.33030847912249556,0.049027663994393816,3.3767566097891626,2.9740907223880068e-06,primary
sub-010,0.463182710546265,0.16830263561462366,0.18874770235571173,0.07528784812673557,1.5754483555131233,-3.6491170119068317e-06,primary
sub-010,0.45981117869110427,0.23322697865741043,0.2831215535335676,0.06836817561530005,1.5568503194842658,-9.725247644905789e-07,primary
sub-010,0.46370955541427317,0.19701724672198967,0.23593462794463968,0.06500625305631944,1.342182184411425,-6.872285409411013e-06,primary
sub-010,0.41604719058940454,0.11077271288316284,0.18874770235571173,0.05613653093173174,1.7797380739737367,-2.6694080169170886e-06,primary
sub-010,0.48707299148092964,0.18098017496975322,0.23593462794463968,0.07880914791354254,1.7449813515072918,-2.733114165018746e-06,primary
sub-010,0.44705755328159485,0.11289082497745043,0.23593462794463968,0.06849284317126628,1.3804250919510324,-8.705155050485049e-07,primary
